EmpID,Age,AgeGroup,MaritalStatus,Gender,Attrition,EducationField,EnvironmentSatisfaction,JobRole,Department,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,MonthlyIncome,SalarySlab,HourlyRate,DailyRate,PercentSalaryHike,BusinessTravel,Distance From Home,OverTime,StandardHours,RelationshipSatisfaction,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
RM1187,35,26-35,Single,Male,Yes,Other,Very High,Sales Executive,Sales,Intermediate,High,Very High,High,"$4,581.00 ",Upto 5k,$36.00 ,$880.00 ,24,Frequently,Moderate,Yes,80,Weak,13,11,9,6
RM1188,38,36-45,Married,Male,No,Life Sciences,Very High,Research Scientist,Research & Development,Intermediate,High,Very High,Low,"$4,735.00 ",Upto 5k,$90.00 ,"$1,189.00 ",15,Frequently,Near,No,80,Very Strong,19,13,11,2
RM1189,29,26-35,Divorced,Male,No,Medical,Low,Sales Executive,Sales,Intermediate,Medium,Medium,Low,"$4,187.00 ",Upto 5k,$43.00 ,$991.00 ,13,Rarely,Near,Yes,80,Neutral,10,10,0,0
RM119,36,36-45,Divorced,Female,No,Life Sciences,Low,Laboratory Technician,Research & Development,Entry Level,High,Very High,High,"$2,835.00 ",Upto 5k,$39.00 ,$922.00 ,22,Rarely,Near,No,80,Weak,7,1,0,0
RM1190,33,26-35,Divorced,Male,No,Medical,Very High,Sales Executive,Sales,Intermediate,High,Very High,Low,"$5,505.00 ",5k-10k,$93.00 ,$392.00 ,14,Rarely,Near,No,80,Strong,6,6,2,0
RM1191,32,26-35,Divorced,Male,No,Medical,Very High,Research Scientist,Research & Development,Intermediate,High,Medium,Low,"$5,470.00 ",5k-10k,$45.00 ,$977.00 ,13,Rarely,Near,No,80,Strong,10,9,5,1
RM1192,31,26-35,Married,Female,No,Life Sciences,Low,Sales Executive,Sales,Intermediate,High,Very High,Low,"$5,476.00 ",5k-10k,$67.00 ,"$1,112.00 ",11,Rarely,Near,No,80,Weak,10,10,0,0
RM1193,49,46-55,Divorced,Female,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$2,587.00 ",Upto 5k,$74.00 ,$464.00 ,16,Rarely,Moderate,Yes,80,Neutral,17,2,2,2
RM1194,38,36-45,Single,Female,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,Medium,Medium,High,"$2,440.00 ",Upto 5k,$42.00 ,$148.00 ,22,Frequently,Near,No,80,Neutral,4,4,3,3
RM1195,47,46-55,Divorced,Female,No,Life Sciences,Medium,Manager,Sales,Manager,Very High,Medium,Low,"$15,972.00 ",15k+,$47.00 ,"$1,225.00 ",14,Rarely,Near,No,80,Strong,29,3,2,1
RM1196,49,46-55,Single,Male,No,Life Sciences,High,Manager,Research & Development,Manager,High,High,Low,"$15,379.00 ",15k+,$36.00 ,$809.00 ,14,Rarely,Near,No,80,Weak,23,8,7,0
RM1197,41,36-45,Single,Male,No,Life Sciences,Very High,Sales Executive,Sales,Senior,High,High,Low,"$7,082.00 ",5k-10k,$80.00 ,"$1,206.00 ",16,Rarely,Far,Yes,80,Very Strong,21,2,0,0
RM1198,20,18-25,Single,Male,No,Life Sciences,Very High,Sales Representative,Sales,Entry Level,High,Low,Low,"$2,728.00 ",Upto 5k,$54.00 ,$727.00 ,11,Rarely,Near,No,80,Weak,2,2,2,0
RM1199,33,26-35,Divorced,Female,No,Life Sciences,High,Sales Executive,Sales,Intermediate,High,Very High,High,"$5,368.00 ",5k-10k,$36.00 ,$530.00 ,25,Non,Moderate,Yes,80,Strong,7,6,5,1
RM120,43,36-45,Married,Male,No,Life Sciences,High,Manager,Sales,Manager,High,Very High,Low,"$16,959.00 ",15k+,$92.00 ,$394.00 ,12,Frequently,Far,Yes,80,Very Strong,25,25,12,4
RM1200,36,36-45,Married,Male,No,Life Sciences,Low,Healthcare Representative,Research & Development,Intermediate,High,High,Low,"$5,347.00 ",5k-10k,$80.00 ,"$1,351.00 ",14,Rarely,Far,No,80,Neutral,10,3,2,0
RM1201,44,36-45,Divorced,Female,No,Life Sciences,High,Human Resources,Human Resources,Entry Level,High,Very High,Low,"$3,195.00 ",Upto 5k,$44.00 ,$528.00 ,18,Rarely,Near,Yes,80,Weak,8,2,2,2
RM1202,23,18-25,Single,Male,Yes,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,Medium,High,Low,"$3,989.00 ",Upto 5k,$93.00 ,"$1,320.00 ",11,Rarely,Near,Yes,80,Weak,5,5,4,1
RM1203,38,36-45,Married,Female,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,High,High,Low,"$3,306.00 ",Upto 5k,$87.00 ,"$1,495.00 ",19,Rarely,Near,No,80,Very Strong,7,0,0,0
RM1204,53,46-55,Married,Male,No,Medical,Medium,Healthcare Representative,Research & Development,Senior,Very High,Very High,Low,"$7,005.00 ",5k-10k,$48.00 ,"$1,395.00 ",15,Rarely,Far,No,80,Strong,11,4,3,1
RM1205,48,46-55,Married,Female,Yes,Medical,Very High,Sales Representative,Sales,Entry Level,High,High,Low,"$2,655.00 ",Upto 5k,$95.00 ,$708.00 ,11,Frequently,Near,Yes,80,Strong,19,9,7,7
RM1206,32,26-35,Single,Male,Yes,Life Sciences,Very High,Laboratory Technician,Research & Development,Entry Level,High,Medium,Low,"$1,393.00 ",Upto 5k,$95.00 ,"$1,259.00 ",12,Rarely,Near,No,80,Weak,1,1,0,0
RM1207,26,26-35,Single,Male,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,High,Very High,High,"$2,570.00 ",Upto 5k,$76.00 ,$786.00 ,20,Non,Near,No,80,Strong,7,7,7,5
RM1208,55,46-55,Divorced,Male,No,Technical Degree,Low,Research Scientist,Research & Development,Entry Level,Medium,Medium,Low,"$3,537.00 ",Upto 5k,$94.00 ,"$1,441.00 ",12,Rarely,Far,No,80,Very Strong,8,4,2,1
RM1209,34,26-35,Married,Male,No,Medical,Medium,Laboratory Technician,Research & Development,Intermediate,Medium,Very High,Low,"$3,986.00 ",Upto 5k,$57.00 ,"$1,157.00 ",14,Rarely,Near,No,80,Strong,15,15,10,4
RM121,30,26-35,Divorced,Male,No,Life Sciences,Low,Research Scientist,Research & Development,Entry Level,Low,High,High,"$2,613.00 ",Upto 5k,$96.00 ,"$1,312.00 ",25,Frequently,Far,No,80,Strong,10,10,7,0
RM1210,60,55+,Divorced,Male,No,Medical,High,Healthcare Representative,Research & Development,Senior,Low,Very High,High,"$10,883.00 ",10k-15k,$92.00 ,$370.00 ,20,Rarely,Near,No,80,Strong,19,1,0,0
RM1211,33,26-35,Married,Male,No,Medical,Medium,Laboratory Technician,Research & Development,Entry Level,Very High,Medium,Low,"$2,028.00 ",Upto 5k,$79.00 ,$267.00 ,18,Rarely,Far,No,80,Very Strong,14,14,11,2
RM1212,37,36-45,Divorced,Male,No,Medical,High,Sales Executive,Sales,Intermediate,Low,Very High,Low,"$9,525.00 ",5k-10k,$31.00 ,"$1,278.00 ",14,Frequently,Near,No,80,Strong,6,6,3,1
RM1213,34,26-35,Married,Female,No,Life Sciences,Medium,Research Scientist,Research & Development,Entry Level,Medium,Very High,Low,"$2,929.00 ",Upto 5k,$35.00 ,$678.00 ,12,Rarely,Moderate,No,80,Neutral,10,10,9,8
RM1214,23,18-25,Divorced,Male,Yes,Life Sciences,High,Sales Representative,Sales,Entry Level,High,Very High,High,"$2,275.00 ",Upto 5k,$99.00 ,$427.00 ,21,Rarely,Near,Yes,80,Neutral,3,3,2,0
RM1215,44,36-45,Married,Female,No,Life Sciences,High,Healthcare Representative,Research & Development,Senior,Very High,Very High,Low,"$7,879.00 ",5k-10k,$96.00 ,$921.00 ,19,Rarely,Near,Yes,80,Neutral,9,8,7,6
RM1216,35,26-35,Single,Male,No,Medical,Low,Research Scientist,Research & Development,Entry Level,Medium,Very High,Low,"$4,930.00 ",Upto 5k,$79.00 ,$146.00 ,14,Frequently,Near,Yes,80,Strong,6,5,4,1
RM1217,43,36-45,Married,Male,No,Medical,Very High,Sales Executive,Sales,Intermediate,High,Very High,Low,"$7,847.00 ",5k-10k,$73.00 ,"$1,179.00 ",17,Rarely,Near,Yes,80,Weak,10,10,9,8
RM1218,24,18-25,Married,Male,No,Medical,High,Research Scientist,Research & Development,Entry Level,Very High,High,Low,"$4,401.00 ",Upto 5k,$62.00 ,$581.00 ,16,Rarely,Near,No,80,Very Strong,5,5,3,0
RM1219,41,36-45,Single,Male,No,Marketing,Very High,Sales Executive,Sales,Senior,High,High,Low,"$9,241.00 ",5k-10k,$35.00 ,$918.00 ,12,Rarely,Near,No,80,Neutral,10,10,8,8
RM122,33,26-35,Married,Male,No,Marketing,High,Sales Executive,Sales,Intermediate,High,Medium,Low,"$6,146.00 ",5k-10k,$95.00 ,$750.00 ,13,Non,Far,No,80,Weak,8,7,7,0
RM1220,29,26-35,Married,Female,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,High,High,Low,"$2,974.00 ",Upto 5k,$43.00 ,"$1,082.00 ",17,Rarely,Near,No,80,Strong,9,5,3,1
RM1221,36,36-45,Single,Female,No,Life Sciences,High,Sales Representative,Sales,Intermediate,High,Very High,Low,"$4,502.00 ",Upto 5k,$51.00 ,$530.00 ,15,Rarely,Near,No,80,Strong,17,13,7,6
RM1222,45,36-45,Married,Male,No,Life Sciences,High,Healthcare Representative,Research & Development,Senior,Medium,High,High,"$10,748.00 ",10k-15k,$74.00 ,"$1,238.00 ",23,Non,Near,No,80,Very Strong,25,23,15,14
RM1223,24,18-25,Married,Male,Yes,Human Resources,Very High,Human Resources,Human Resources,Entry Level,Low,High,Low,"$1,555.00 ",Upto 5k,$58.00 ,$240.00 ,11,Rarely,Far,No,80,Strong,1,1,0,0
RM1224,47,46-55,Married,Male,Yes,Life Sciences,High,Sales Executive,Sales,Manager,Low,High,Low,"$12,936.00 ",10k-15k,$82.00 ,"$1,093.00 ",11,Frequently,Near,No,80,Strong,25,23,5,14
RM1225,26,26-35,Married,Male,No,Medical,Very High,Laboratory Technician,Research & Development,Entry Level,Low,High,Low,"$2,305.00 ",Upto 5k,$62.00 ,$390.00 ,15,Rarely,Moderate,No,80,Strong,3,3,2,0
RM1226,45,36-45,Single,Female,No,Technical Degree,Very High,Research Director,Research & Development,Manager,Medium,Medium,Low,"$16,704.00 ",15k+,$48.00 ,"$1,005.00 ",11,Rarely,Far,No,80,Strong,21,21,6,8
RM1227,32,26-35,Married,Male,No,Life Sciences,Low,Research Scientist,Research & Development,Entry Level,High,High,Low,"$3,433.00 ",Upto 5k,$56.00 ,$585.00 ,13,Frequently,Near,No,80,Weak,10,5,2,1
RM1228,31,26-35,Married,Male,No,Life Sciences,Medium,Laboratory Technician,Research & Development,Entry Level,High,High,Low,"$3,477.00 ",Upto 5k,$69.00 ,$741.00 ,14,Rarely,Near,No,80,Very Strong,6,5,2,0
RM1229,41,36-45,Married,Male,No,Human Resources,High,Human Resources,Human Resources,Intermediate,Low,Medium,Low,"$6,430.00 ",5k-10k,$60.00 ,$552.00 ,19,Non,Near,No,80,Neutral,10,3,2,1
RM123,56,55+,Married,Female,Yes,Life Sciences,Medium,Research Scientist,Research & Development,Entry Level,High,Medium,Low,"$4,963.00 ",Upto 5k,$72.00 ,$441.00 ,18,Rarely,Moderate,Yes,80,Weak,7,5,4,4
RM1230,40,36-45,Married,Female,No,Life Sciences,Medium,Manufacturing Director,Research & Development,Intermediate,High,Low,Low,"$6,516.00 ",5k-10k,$92.00 ,$369.00 ,16,Rarely,Near,Yes,80,Neutral,18,1,0,0
RM1231,24,18-25,Divorced,Male,No,Medical,Medium,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$3,907.00 ",Upto 5k,$91.00 ,$506.00 ,13,Rarely,Far,No,80,Neutral,6,6,2,1
RM1232,46,46-55,Single,Male,No,Life Sciences,High,Healthcare Representative,Research & Development,Intermediate,High,Medium,Low,"$5,562.00 ",5k-10k,$34.00 ,$717.00 ,14,Rarely,Moderate,No,80,Very Strong,19,10,7,0
RM1233,35,26-35,Married,Male,No,Life Sciences,Very High,Manufacturing Director,Research & Development,Intermediate,High,High,Low,"$6,883.00 ",5k-10k,$49.00 ,"$1,370.00 ",16,Rarely,Far,No,80,Neutral,17,7,7,0
RM1234,30,26-35,Married,Male,No,Life Sciences,Medium,Research Scientist,Research & Development,Entry Level,High,Very High,Low,"$2,862.00 ",Upto 5k,$33.00 ,$793.00 ,12,Rarely,Moderate,No,80,Neutral,10,10,0,0
RM1235,47,46-55,Married,Male,No,Marketing,High,Sales Executive,Sales,Intermediate,High,Medium,Low,"$4,978.00 ",Upto 5k,$87.00 ,$543.00 ,11,Non,Near,No,80,Very Strong,4,1,0,0
RM1236,46,46-55,Divorced,Male,No,Life Sciences,High,Sales Executive,Sales,Senior,High,Very High,Low,"$10,368.00 ",10k-15k,$74.00 ,"$1,277.00 ",12,Rarely,Near,Yes,80,Neutral,13,10,6,0
RM1237,36,36-45,Divorced,Male,Yes,Marketing,Medium,Sales Executive,Sales,Intermediate,Medium,Low,Low,"$6,134.00 ",5k-10k,$96.00 ,"$1,456.00 ",13,Rarely,Moderate,Yes,80,Neutral,16,2,2,2
RM1238,32,26-35,Single,Male,Yes,Life Sciences,Low,Sales Executive,Sales,Intermediate,Low,Medium,Low,"$6,735.00 ",5k-10k,$34.00 ,$964.00 ,15,Rarely,Near,No,80,Neutral,10,0,0,0
RM1239,23,18-25,Single,Female,No,Medical,High,Laboratory Technician,Research & Development,Entry Level,High,Medium,Low,"$3,295.00 ",Upto 5k,$51.00 ,$160.00 ,13,Rarely,Near,No,80,Strong,3,3,2,1
RM124,51,46-55,Single,Male,No,Life Sciences,Low,Research Director,Research & Development,Executive,High,High,Low,"$19,537.00 ",15k+,$51.00 ,$684.00 ,13,Rarely,Near,No,80,Strong,23,20,18,15
RM1240,31,26-35,Single,Female,No,Technical Degree,Very High,Manufacturing Director,Research & Development,Intermediate,High,Very High,High,"$5,238.00 ",5k-10k,$30.00 ,$163.00 ,20,Frequently,Far,No,80,Very Strong,9,5,4,1
RM1241,39,36-45,Married,Male,No,Life Sciences,Very High,Laboratory Technician,Research & Development,Intermediate,High,Very High,Low,"$6,472.00 ",5k-10k,$77.00 ,$792.00 ,15,Non,Near,Yes,80,Very Strong,9,9,8,5
RM1242,32,26-35,Married,Male,No,Life Sciences,Very High,Sales Executive,Sales,Senior,Low,High,Low,"$9,610.00 ",5k-10k,$80.00 ,$371.00 ,13,Rarely,Moderate,No,80,Strong,10,4,3,0
RM1243,40,36-45,Single,Male,No,Medical,Medium,Manager,Sales,Executive,High,Medium,Low,"$19,833.00 ",15k+,$88.00 ,$611.00 ,14,Rarely,Near,No,80,Neutral,21,21,8,12
RM1244,45,36-45,Married,Female,No,Life Sciences,High,Human Resources,Human Resources,Senior,Low,High,High,"$9,756.00 ",5k-10k,$56.00 ,$176.00 ,21,Rarely,Near,No,80,Strong,9,5,0,0
RM1245,30,26-35,Single,Female,No,Technical Degree,Very High,Research Scientist,Research & Development,Entry Level,Medium,Low,Low,"$4,968.00 ",Upto 5k,$78.00 ,"$1,312.00 ",16,Frequently,Near,No,80,Very Strong,10,9,7,0
RM1246,24,18-25,Married,Male,No,Medical,Low,Human Resources,Human Resources,Entry Level,High,Very High,Low,"$2,145.00 ",Upto 5k,$59.00 ,$897.00 ,14,Frequently,Near,No,80,Very Strong,3,2,2,2
RM1247,30,26-35,Divorced,Female,Yes,Human Resources,High,Human Resources,Human Resources,Entry Level,Medium,Very High,Low,"$2,180.00 ",Upto 5k,$66.00 ,$600.00 ,11,Frequently,Near,No,80,Strong,6,4,2,1
RM1248,31,26-35,Married,Male,No,Technical Degree,Low,Sales Executive,Sales,Intermediate,High,High,Low,"$8,346.00 ",5k-10k,$51.00 ,"$1,003.00 ",19,Rarely,Near,No,80,Strong,6,5,2,0
RM1249,27,26-35,Single,Female,No,Medical,High,Research Scientist,Research & Development,Entry Level,High,Very High,Low,"$3,445.00 ",Upto 5k,$67.00 ,"$1,054.00 ",11,Rarely,Near,No,80,Strong,6,6,2,1
RM125,31,26-35,Married,Male,Yes,Life Sciences,Medium,Sales Executive,Sales,Intermediate,Low,High,Low,"$6,172.00 ",5k-10k,$76.00 ,$249.00 ,18,Rarely,Near,Yes,80,Neutral,12,7,7,7
RM1250,29,26-35,Single,Female,Yes,Marketing,Medium,Sales Representative,Sales,Entry Level,Low,Medium,Low,"$2,760.00 ",Upto 5k,$52.00 ,$428.00 ,13,Rarely,Near,No,80,Strong,2,2,2,2
RM1251,29,26-35,Single,Male,No,Life Sciences,Very High,Healthcare Representative,Research & Development,Intermediate,Very High,High,Low,"$6,294.00 ",5k-10k,$70.00 ,$461.00 ,12,Frequently,Near,Yes,80,Very Strong,10,3,2,0
RM1252,30,26-35,Divorced,Male,No,Marketing,High,Sales Executive,Sales,Senior,Medium,Low,Low,"$7,140.00 ",5k-10k,$94.00 ,$979.00 ,11,Rarely,Moderate,No,80,Weak,12,7,7,1
RM1253,34,26-35,Married,Male,No,Medical,Very High,Research Scientist,Research & Development,Entry Level,Very High,Very High,Low,"$2,932.00 ",Upto 5k,$97.00 ,$181.00 ,14,Rarely,Near,Yes,80,Weak,6,5,0,1
RM1254,33,26-35,Single,Female,No,Marketing,Very High,Sales Executive,Sales,Intermediate,High,Medium,Low,"$5,147.00 ",5k-10k,$62.00 ,"$1,283.00 ",15,Non,Near,No,80,Very Strong,13,11,7,1
RM1255,49,46-55,Single,Female,No,Marketing,Very High,Sales Executive,Sales,Intermediate,High,Very High,Low,"$4,507.00 ",Upto 5k,$80.00 ,"$1,313.00 ",12,Rarely,Moderate,No,80,Strong,8,5,1,0
RM1256,33,26-35,Single,Female,Yes,Life Sciences,Low,Sales Executive,Sales,Senior,High,Low,High,"$8,564.00 ",5k-10k,$74.00 ,$211.00 ,20,Rarely,Moderate,Yes,80,Strong,11,0,0,0
RM1257,38,36-45,Married,Female,No,Medical,High,Laboratory Technician,Research & Development,Entry Level,Medium,Medium,Low,"$2,468.00 ",Upto 5k,$75.00 ,$594.00 ,14,Frequently,Near,No,80,Neutral,9,6,1,0
RM1258,31,26-35,Married,Male,Yes,Marketing,Low,Sales Executive,Sales,Senior,High,High,Low,"$8,161.00 ",5k-10k,$70.00 ,"$1,079.00 ",13,Rarely,Moderate,No,80,Weak,10,1,0,0
RM1259,29,26-35,Divorced,Female,No,Technical Degree,Very High,Research Scientist,Research & Development,Entry Level,Medium,Low,Low,"$2,109.00 ",Upto 5k,$91.00 ,$590.00 ,13,Rarely,Near,No,80,Strong,1,1,0,0
RM126,26,26-35,Married,Female,No,Other,High,Research Scientist,Research & Development,Entry Level,Medium,Medium,Low,"$2,368.00 ",Upto 5k,$46.00 ,$841.00 ,19,Rarely,Near,No,80,Strong,5,5,4,4
RM1260,30,26-35,Married,Male,No,Life Sciences,High,Healthcare Representative,Research & Development,Intermediate,Very High,High,Low,"$5,294.00 ",5k-10k,$58.00 ,$305.00 ,16,Rarely,Moderate,No,80,Strong,10,7,0,1
RM1261,32,26-35,Single,Male,No,Technical Degree,Medium,Research Scientist,Research & Development,Entry Level,High,Medium,Low,"$2,718.00 ",Upto 5k,$65.00 ,$953.00 ,14,Non,Near,No,80,Neutral,12,7,7,0
RM1262,38,36-45,Married,Male,No,Medical,Medium,Healthcare Representative,Research & Development,Intermediate,Low,Very High,Low,"$5,811.00 ",5k-10k,$60.00 ,$833.00 ,16,Rarely,Moderate,Yes,80,Strong,15,1,0,1
RM1263,43,36-45,Married,Male,Yes,Technical Degree,High,Research Scientist,Research & Development,Entry Level,Medium,High,Low,"$2,437.00 ",Upto 5k,$38.00 ,$807.00 ,16,Frequently,Moderate,Yes,80,Very Strong,6,1,0,0
RM1264,42,36-45,Divorced,Male,No,Medical,Medium,Laboratory Technician,Research & Development,Entry Level,High,Medium,High,"$2,766.00 ",Upto 5k,$57.00 ,$855.00 ,22,Rarely,Moderate,No,80,Neutral,7,5,3,0
RM1265,55,46-55,Married,Male,No,Medical,High,Research Director,Research & Development,Executive,Medium,Low,Low,"$19,038.00 ",15k+,$60.00 ,$478.00 ,12,Rarely,Near,No,80,Neutral,34,1,0,0
RM1266,33,26-35,Divorced,Male,No,Technical Degree,Very High,Research Scientist,Research & Development,Intermediate,High,Medium,Low,"$3,055.00 ",Upto 5k,$90.00 ,$775.00 ,15,Non,Near,No,80,Very Strong,11,9,8,1
RM1267,41,36-45,Divorced,Male,No,Life Sciences,High,Laboratory Technician,Research & Development,Entry Level,High,Low,High,"$2,289.00 ",Upto 5k,$94.00 ,$548.00 ,20,Rarely,Near,No,80,Neutral,5,5,3,0
RM1268,34,26-35,Divorced,Male,No,Life Sciences,Very High,Sales Executive,Sales,Intermediate,High,High,Low,"$4,001.00 ",Upto 5k,$87.00 ,"$1,375.00 ",14,Non,Near,Yes,80,Strong,15,15,14,0
RM1269,53,46-55,Married,Female,No,Medical,Low,Manufacturing Director,Research & Development,Manager,Medium,High,High,"$12,965.00 ",10k-15k,$60.00 ,$661.00 ,20,Non,Near,Yes,80,Very Strong,27,3,2,0
RM127,58,55+,Married,Female,Yes,Medical,Very High,Healthcare Representative,Research & Development,Senior,High,Very High,Low,"$10,312.00 ",10k-15k,$94.00 ,$147.00 ,12,Rarely,Far,No,80,Very Strong,40,40,10,15
RM1270,43,36-45,Single,Male,No,Life Sciences,Medium,Human Resources,Human Resources,Entry Level,High,Very High,Low,"$3,539.00 ",Upto 5k,$97.00 ,$244.00 ,13,Rarely,Near,No,80,Neutral,10,9,7,1
RM1271,34,26-35,Single,Female,No,Life Sciences,Very High,Sales Executive,Sales,Intermediate,Low,Very High,Low,"$6,029.00 ",5k-10k,$32.00 ,$511.00 ,12,Rarely,Near,No,80,Weak,6,2,2,2
RM1272,21,18-25,Single,Male,Yes,Marketing,Medium,Sales Representative,Sales,Entry Level,High,Medium,Low,"$2,679.00 ",Upto 5k,$31.00 ,$337.00 ,13,Rarely,Near,No,80,Neutral,1,1,0,1
RM1273,38,36-45,Married,Female,No,Other,Very High,Laboratory Technician,Research & Development,Entry Level,Medium,High,Low,"$3,702.00 ",Upto 5k,$40.00 ,"$1,153.00 ",11,Rarely,Near,No,80,Neutral,5,5,4,0
RM1274,22,18-25,Married,Female,Yes,Medical,High,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$2,398.00 ",Upto 5k,$79.00 ,"$1,294.00 ",17,Rarely,Near,Yes,80,Strong,1,1,0,0
RM1275,31,26-35,Married,Female,No,Marketing,Low,Sales Executive,Sales,Intermediate,Medium,Very High,Low,"$5,468.00 ",5k-10k,$91.00 ,$196.00 ,14,Rarely,Far,No,80,Weak,13,12,7,5
RM1276,51,46-55,Married,Female,No,Technical Degree,Low,Manager,Research & Development,Senior,High,High,Low,"$13,116.00 ",10k-15k,$53.00 ,$942.00 ,11,Rarely,Near,No,80,Very Strong,15,2,2,2
RM1277,37,36-45,Married,Male,No,Marketing,Medium,Sales Executive,Sales,Intermediate,Medium,Medium,Low,"$4,189.00 ",Upto 5k,$46.00 ,$589.00 ,14,Rarely,Near,No,80,Weak,5,5,2,0
RM1278,46,46-55,Divorced,Male,No,Medical,High,Research Director,Research & Development,Executive,High,Very High,Low,"$19,328.00 ",15k+,$46.00 ,$734.00 ,17,Rarely,Near,Yes,80,Strong,24,2,1,2
RM1279,36,36-45,Married,Male,No,Life Sciences,Very High,Healthcare Representative,Research & Development,Senior,High,Low,Low,"$8,321.00 ",5k-10k,$90.00 ,"$1,383.00 ",13,Rarely,Near,Yes,80,Very Strong,15,12,8,5
RM128,19,18-25,Single,Male,Yes,Marketing,Very High,Sales Representative,Sales,Entry Level,High,High,Low,"$1,675.00 ",Upto 5k,$50.00 ,$528.00 ,19,Rarely,Far,Yes,80,Very Strong,0,0,0,0
RM1280,44,36-45,Divorced,Male,Yes,Medical,High,Research Scientist,Research & Development,Entry Level,High,Medium,Low,"$2,342.00 ",Upto 5k,$99.00 ,$429.00 ,12,Frequently,Near,Yes,80,Strong,6,5,3,2
RM1281,37,36-45,Divorced,Male,No,Other,High,Human Resources,Human Resources,Intermediate,High,Medium,Low,"$4,071.00 ",Upto 5k,$89.00 ,"$1,239.00 ",13,Rarely,Near,No,80,Strong,19,10,0,4
RM1282,35,26-35,Single,Male,Yes,Life Sciences,High,Sales Executive,Sales,Intermediate,High,Very High,Low,"$5,813.00 ",5k-10k,$84.00 ,$303.00 ,18,Rarely,Far,Yes,80,Very Strong,10,10,7,7
RM1283,33,26-35,Married,Male,No,Life Sciences,Very High,Research Scientist,Research & Development,Entry Level,Very High,Low,Low,"$3,143.00 ",Upto 5k,$90.00 ,$867.00 ,19,Rarely,Near,No,80,Neutral,14,10,8,7
RM1284,28,26-35,Married,Male,No,Life Sciences,High,Research Scientist,Research & Development,Entry Level,High,Very High,Low,"$2,044.00 ",Upto 5k,$82.00 ,"$1,181.00 ",11,Rarely,Near,No,80,Strong,5,5,3,0
RM1285,39,36-45,Single,Male,No,Medical,High,Research Director,Research & Development,Senior,High,High,High,"$13,464.00 ",10k-15k,$65.00 ,"$1,253.00 ",21,Rarely,Near,No,80,Strong,9,4,3,2
RM1286,46,46-55,Single,Male,No,Life Sciences,Medium,Sales Executive,Sales,Intermediate,Medium,Medium,Low,"$7,991.00 ",5k-10k,$98.00 ,$849.00 ,15,Non,Far,No,80,Strong,6,2,2,2
RM1287,40,36-45,Married,Female,No,Life Sciences,High,Laboratory Technician,Research & Development,Entry Level,High,Low,Low,"$3,377.00 ",Upto 5k,$99.00 ,$616.00 ,17,Rarely,Near,No,80,Very Strong,7,4,3,0
RM1288,42,36-45,Married,Male,No,Medical,Medium,Healthcare Representative,Research & Development,Intermediate,Very High,Low,Low,"$5,538.00 ",5k-10k,$95.00 ,"$1,128.00 ",18,Rarely,Moderate,No,80,Strong,10,0,0,0
RM1289,35,26-35,Divorced,Male,No,Medical,Medium,Manufacturing Director,Research & Development,Intermediate,High,Very High,Low,"$5,762.00 ",5k-10k,$90.00 ,"$1,180.00 ",14,Non,Near,No,80,Strong,15,7,7,1
RM129,22,18-25,Married,Male,No,Technical Degree,High,Laboratory Technician,Research & Development,Entry Level,High,Very High,Low,"$2,523.00 ",Upto 5k,$100.00 ,$594.00 ,14,Rarely,Near,No,80,Strong,3,2,1,2
RM1290,38,36-45,Divorced,Male,No,Human Resources,Low,Human Resources,Human Resources,Entry Level,High,Medium,Low,"$2,592.00 ",Upto 5k,$100.00 ,"$1,336.00 ",13,Non,Near,No,80,Very Strong,13,11,10,3
RM1291,34,26-35,Married,Male,Yes,Life Sciences,Very High,Laboratory Technician,Research & Development,Intermediate,High,Low,Low,"$5,346.00 ",5k-10k,$93.00 ,$234.00 ,17,Frequently,Near,No,80,Strong,11,7,1,0
RM1292,37,36-45,Single,Male,Yes,Medical,Very High,Manufacturing Director,Research & Development,Intermediate,High,Low,Low,"$4,213.00 ",Upto 5k,$58.00 ,$370.00 ,15,Rarely,Near,No,80,Neutral,10,10,3,0
RM1293,39,36-45,Divorced,Male,No,Life Sciences,High,Sales Executive,Sales,Intermediate,High,Very High,Low,"$4,127.00 ",Upto 5k,$83.00 ,$766.00 ,18,Frequently,Moderate,No,80,Very Strong,7,2,1,2
RM1294,43,36-45,Single,Male,No,Life Sciences,Low,Research Scientist,Research & Development,Entry Level,High,High,Low,"$2,438.00 ",Upto 5k,$52.00 ,$343.00 ,13,Non,Near,No,80,Strong,7,3,2,1
RM1295,41,36-45,Single,Male,No,Life Sciences,Medium,Healthcare Representative,Research & Development,Intermediate,Very High,Medium,Low,"$6,870.00 ",5k-10k,$85.00 ,$447.00 ,12,Rarely,Near,No,80,Weak,11,3,2,1
